attrition,age,daily_rate,distance_from_home,education,environment_satisfaction,hourly_rate,job_involvement,job_level,job_satisfaction,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,business_travel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.5476190476190477,0.7158196134574086,0.0,0.25,0.3333333333333333,0.9142857142857141,0.6666666666666667,0.25,1.0,0.2624539231174302,0.6980525998795423,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.15000000000000002,0.2222222222222222,0.0,0.29411764705882354,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.7380952380952379,0.12670007158196134,0.25,0.0,0.6666666666666667,0.4428571428571429,0.3333333333333333,0.25,0.3333333333333333,0.21700895208004214,0.9160008030515961,0.1111111111111111,0.0,0.8571428571428571,1.0,1.0,0.3333333333333333,0.25,0.5,0.6666666666666667,0.25,0.38888888888888884,0.06666666666666667,0.4117647058823529,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.4523809523809524,0.9098067287043664,0.03571428571428571,0.25,1.0,0.8857142857142857,0.3333333333333333,0.0,0.6666666666666667,0.0569246972090574,0.012126079100582207,0.6666666666666666,1.0,0.2857142857142857,0.0,0.3333333333333333,0.0,0.17500000000000002,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.35714285714285715,0.9234073013600572,0.07142857142857142,0.75,1.0,0.3714285714285714,0.6666666666666667,0.0,0.6666666666666667,0.10005265929436546,0.845814093555511,0.1111111111111111,1.0,0.0,0.0,0.6666666666666667,0.0,0.2,0.5,0.6666666666666667,0.2,0.38888888888888884,0.2,0.0,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.21428571428571425,0.35003579098067283,0.03571428571428571,0.0,0.0,0.14285714285714285,0.6666666666666667,0.0,0.3333333333333333,0.1294892048446551,0.5837382051796828,1.0,0.0,0.0714285714285714,0.0,1.0,0.3333333333333333,0.15000000000000002,0.5,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.3333333333333333,0.64638511095204,0.03571428571428571,0.25,1.0,0.7,0.6666666666666667,0.0,1.0,0.10842548709847288,0.3922907046777755,0.0,0.0,0.1428571428571428,0.0,0.6666666666666667,0.0,0.2,0.3333333333333333,0.3333333333333333,0.17500000000000002,0.38888888888888884,0.2,0.3529411764705882,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.976190476190476,0.8747315676449534,0.07142857142857142,0.5,0.6666666666666667,0.7285714285714284,1.0,0.0,0.0,0.08746708794102159,0.31600080305159606,0.4444444444444444,1.0,0.6428571428571427,1.0,0.0,1.0,0.30000000000000004,0.5,0.3333333333333333,0.025,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.28571428571428564,0.8990694345025053,0.8214285714285714,0.0,1.0,0.5285714285714285,0.6666666666666667,0.0,0.6666666666666667,0.08867825171142707,0.45135514956835976,0.1111111111111111,0.0,0.7857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.025,0.3333333333333333,0.6666666666666667,0.025,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.4761904761904761,0.0816034359341446,0.7857142857142857,0.5,1.0,0.2,0.3333333333333333,0.5,0.6666666666666667,0.44849921011058447,0.2687412166231681,0.0,0.0,0.7142857142857143,1.0,0.3333333333333333,0.0,0.25,0.3333333333333333,0.6666666666666667,0.225,0.38888888888888884,0.06666666666666667,0.47058823529411764,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.42857142857142855,0.8568360773085182,0.9285714285714285,0.5,0.6666666666666667,0.9142857142857141,0.6666666666666667,0.25,0.6666666666666667,0.22264349657714586,0.5815298132905039,0.6666666666666666,0.0,0.1428571428571428,0.0,0.3333333333333333,0.6666666666666666,0.42500000000000004,0.5,0.3333333333333333,0.17500000000000002,0.38888888888888884,0.4666666666666667,0.4117647058823529,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.4047619047619047,0.5060844667143879,0.5357142857142857,0.5,0.0,0.7714285714285714,1.0,0.0,0.3333333333333333,0.07461822011585045,0.5775948604697851,0.0,0.0,0.1428571428571428,0.0,0.6666666666666667,0.3333333333333333,0.15000000000000002,0.8333333333333333,0.6666666666666667,0.125,0.2222222222222222,0.0,0.1764705882352941,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.2619047619047619,0.03650680028632784,0.5,0.25,1.0,0.2714285714285714,0.3333333333333333,0.25,0.6666666666666667,0.16766719325961033,0.425135514956836,0.0,1.0,0.0714285714285714,0.0,1.0,0.0,0.25,0.5,0.6666666666666667,0.225,0.2777777777777778,0.0,0.47058823529411764,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.3095238095238095,0.4065855404438081,0.8928571428571428,0.0,0.0,0.01428571428571429,0.6666666666666667,0.0,0.6666666666666667,0.10015797788309638,0.5250351335073279,0.1111111111111111,0.0,0.4285714285714285,0.0,1.0,0.3333333333333333,0.125,0.16666666666666666,0.3333333333333333,0.125,0.1111111111111111,0.26666666666666666,0.1764705882352941,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
